"path_data_id","airline_id","passengers","freight","mail","air_time","seats","payload","class","path_id","ramp_distance_id","aircraft_type_id","aircraft_config_id"
126,19977,4612,2301,13670,7568,4800,1139462,"F",374,8321,694,1
127,19977,10011,4761,12668,13970,10561,2571316,"F",374,15537,634,1
128,20409,7738,0,0,13613,8550,2131800,"F",374,15159,694,1
129,21161,15,0,0,151,179,75830,"L",440,162,617,1
130,19393,10876,8337,0,8889,11726,2837200,"F",233,10553,612,1
131,19977,333,0,0,329,486,122849,"F",233,387,614,1
132,19977,630,94,0,776,896,211673,"F",233,915,698,1
133,20304,1059,0,0,2812,1200,324000,"F",233,3528,629,1
134,20304,1532,0,0,2614,1748,349600,"F",233,3294,673,1
135,21352,4,0,0,210,16,4000,"L",328,234,684,1
136,19393,4751,15999,0,8474,5863,1418600,"F",192,9261,612,1
137,19393,19734,43848,0,26297,22400,5555200,"F",192,28980,614,1
138,19977,368,133,0,635,384,107090,"F",192,680,698,1
139,19977,1215,38,3161,1909,1350,310348,"F",192,2143,694,1
140,19977,1750,78,3181,2261,1826,439369,"F",192,2505,614,1
141,19977,6129,963,43297,7529,6623,1647839,"F",192,8392,634,1
142,19977,84,0,0,67,150,36804,"F",324,107,694,1
143,19977,509,0,0,291,704,164811,"F",324,365,634,1
144,19977,1451,0,0,1335,2432,663289,"F",324,1884,698,1
145,19977,6757,66,0,3842,9284,2281158,"F",324,4969,614,1
146,20304,136,0,0,211,210,56220,"F",324,325,631,1
147,20304,1377,0,0,2238,1500,401500,"F",324,2938,629,1
148,20436,1648,0,0,902,1950,390000,"F",324,1276,698,1
149,20500,177,0,0,206,210,52830,"F",324,268,631,1
150,21599,321,0,0,3117,408,81600,"F",101,3581,479,1
151,21599,193,0,0,1772,208,41600,"F",86,2085,479,1
152,21599,385,0,0,3385,416,104000,"F",86,4148,458,1
153,21599,77,0,0,831,80,16000,"F",184,946,479,1
154,21599,117,0,0,1220,128,32000,"F",184,1409,458,1
155,19393,107,85,0,248,143,32200,"F",399,292,619,1
156,19393,624,0,0,768,700,173600,"F",399,841,614,1
157,19393,2635,279,0,4581,3289,795800,"F",399,5079,612,1
158,19977,395,31,0,405,600,125284,"F",44,508,694,1
159,19977,3950,210,0,4110,5248,1380308,"F",44,5008,698,1
160,20237,290,0,0,759,350,77826,"F",44,944,675,1
161,20304,596,0,0,1383,700,185500,"F",44,1726,629,1
162,20436,425,0,0,289,450,90000,"F",44,364,698,1
163,20436,2259,0,0,1337,2340,471600,"F",44,1661,694,1
164,19393,139,1026,0,164,143,32200,"F",163,176,619,1
165,19393,1150,3842,0,1165,1225,303800,"F",163,1276,614,1
166,19393,2872,7027,0,3632,3146,761200,"F",163,4005,612,1
167,19977,5316,477,8776,5335,5716,1309313,"F",163,6065,634,1
168,19977,7395,482,11828,7950,7944,1887524,"F",163,8905,614,1
169,20304,421,0,0,1029,456,91200,"F",163,1198,673,1
170,20436,5709,0,0,5062,6900,1380000,"F",163,5787,699,1
171,20452,200,0,0,523,210,57276,"F",163,578,677,1
172,19805,30654,10717,119515,32669,33660,9306000,"F",43,37846,699,1
173,19977,446,130,0,544,486,116827,"F",43,627,614,1
174,19977,852,99,0,907,895,219754,"F",43,1037,634,1
175,19977,2770,73,0,4872,3200,792164,"F",43,5458,698,1
176,19977,2835,851,0,3612,3000,682346,"F",43,4026,694,1
177,20304,503,0,0,1380,532,106400,"F",43,1612,673,1
178,20436,4265,0,0,5512,4500,900000,"F",43,6232,698,1
179,21652,0,0,0,162,12,2400,"L",125,174,688,1
180,19393,8200,33657,0,9927,8723,2110600,"F",93,10942,612,1
181,19977,540,484,366,668,600,136041,"F",93,756,694,1
182,19977,577,225,1540,653,664,155101,"F",93,720,614,1
183,19977,1932,252,8621,2732,2176,557128,"F",93,3079,698,1
184,20304,724,0,0,1699,760,152000,"F",93,2014,673,1
185,20436,4684,0,0,4752,5400,1082400,"F",93,5675,694,1
186,20452,104,0,0,334,152,43606,"F",93,382,673,1
187,20452,1450,0,0,3727,1609,439116,"F",93,4331,677,1
188,21599,264,0,0,3997,448,89600,"F",122,4650,479,1
189,20237,1104,0,0,1760,1450,322422,"F",373,2350,675,1
190,20304,35,0,0,61,50,13500,"F",373,91,629,1
191,19790,160,0,0,148,199,49760,"F",140,166,622,1
192,19790,4155,4997,0,4007,4477,1088612,"F",140,4653,694,1
193,20368,1257,0,0,696,1404,909000,"F",395,924,698,1
194,19393,120,0,0,19,175,43400,"F",407,34,614,1
195,19393,281,2628,0,41,286,69200,"F",407,83,612,1
196,19805,150,450,266,20,160,40400,"F",407,42,614,1
197,19930,156,0,0,19,178,41080,"F",407,48,634,1
198,20237,801,0,0,381,900,200124,"F",407,845,675,1
199,20304,125,0,0,38,140,37480,"F",407,84,631,1
200,20304,5618,0,0,2532,6350,1697000,"F",407,5910,629,1
201,20304,5911,0,0,1873,6840,1368000,"F",407,4135,673,1
